image_name,date,street,block,parcel,text_en,text_es,ad_product,ad_company,business_name,establishment_kind,open_space_kind,street_art,notes,notes2
street_views_000373,2017-06-01,"W Slauson Ave, North",2100,7967,,"iglesia pentecostes, mision cristiana, horarios y dias",,,iglesia pentecostes,church,parking lot,,,
street_views_000374,2017-06-01,"W Slauson Ave, North",2100,7967,"motion windows inc, and foors manufacturing, motion windows",,,,motion windows inc,home improvement,parking lot,,,
street_views_000375,2017-06-01,"W Slauson Ave, South",2100,15801,"special buy 4 new tires alignment free, used tires, we fix rims, mirandas tires buys new tires, free alignment, wheels, ",,,,mirandas tires,automotive services,,handpainted signs,,
street_views_000376,2016-12-01,"W Slauson Ave, North",2000,7968,"celrity, marie fegan square,  ",,,,el nido family center,educational center,,,,
street_views_000377,2016-12-01,"W Slauson Ave, South",2000,15802,"test only, we test batteries, maximize your performance, ",no ignores estas luces de advertencia,,,enrique auto repair,automotive services,parking lot,,,
street_views_000378,2016-12-01,"W Slauson Ave, North",2000,7968,"infant toddler program, ages 6 weeks, we potty train, minds n motion learning center, open enrollment, pre school kindergarden",,,,minds n motion learning center,preschool,parking lot,,,
street_views_000379,2016-12-01,"W Slauson Ave, North",2000,7969,"wheels alignment tune up, new and used, tires, brakes, suspensions, being covered is the best plan",,covered california,,wheels alignment,automotive services,parking lot,,,
street_views_000380,2016-12-01,"W Slauson Ave, South",2000,19477,being covered is the best plan,,covered california,,,commerical,,,,
street_views_000381,2016-12-01,"W Slauson Ave, South",2000,19477,"buyers of crap metal and papaer at higher prices, cast iron, office paper, old newspaper carboard, tin and junk cars, copper, brass, aluminium, stainless steel, radiators, car batteries, foil and more, book and magazines, dump up to ton / 500 lbs of trash or greenwaste for free, open 7 days, we buy plastic, certified public scale, we buy junk cars, ","limpiemos la ciudad el condado de los angeles camoana, tire hasta 1/4 tonelada, 500 lbs de basura o desechos verdes gratis, compramos carros viejos",,,recycling center,recycling,,,,
street_views_000382,2016-12-1,"W Slauson Ave, North",2000,7969,"the pet care center, boost mobile",,,,"the pet care center, boost mobile","pet shop, automotive services",,,,
street_views_000383,2016-12-01,"W Slauson Ave, North",1900,7970,"j and y flowers and gifts, palma",,,,j and y flowers and gifts,florist,parking lot,,,
street_views_000384,2016-12-01,"W Slauson Ave, North",1900,7970,"liberty tax, free tax school, fresh, snap, nutritional quality produce, baby nutrition, cricket wireless, family dollar, ",,,,"family dollar, cricket wireless, libery tax, baby nutrition","grocery, cellular service, dollar store, financial services",parking lot,,,
street_views_000385,2009-03-01,"W Slauson Ave, South",1900,19477,baskin robbins,,,,baskin robbins,ice cream,parking lot,,,
street_views_000386,,,,,,,,,,,,,,
street_views_000387,2009-03-01,"W Slauson Ave, South",1900,19477,mcdonalds,,,,mcdonalds,fast food,parking lot,,,
street_views_000388,2012-05-01,"W Slauson Ave, North",1900,7971,,,men in black movie,,los angeles fire department,fire department,,,,
street_views_000389,2012-05-01,"W Slauson Ave, North",1800,18519,,,,,,commercial,open lot,,,
street_views_000390,2012-05-01,"W Slauson Ave, South",1800,19477,"pollo campero, wednesdays only, open",,,,pollo campero,fast food,parking lot,,,
street_views_000391,2012-05-01,"W Slauson Ave, South",1800,19477,ihop restaurant,,,,ihop,restaurant,parking lot,,,
street_views_000392,2012-05-01,"W Slauson Ave, North",1800,9449,"pizza hut, wing street, dip pals",,mcdonalds,,pizza hut,fast food,parking lot,,,
street_views_000393,2019-04-01,"W Slauson Ave, South",1800,19477,starbucks coffee,,,,starbucks,coffee shop,parking lot,,,
street_views_000394,2019-04-01,"W Slauson Ave, North",1800,18519,big lots,,,,big lots,retail,,,,
street_views_000395,2019-04-01,"W Slauson Ave, North",1800,18519,big lots,,,,big lots,retail,parking lot,,,
street_views_000396,2019-04-01,"W Slauson Ave, South",1800,19477,"home depot, food 4 less, walgreens, mcdonalds, jamba juice",,,,"home depot, food 4 less, walgreens, jamba juice","home improvement, grocery, pharmacy, smoothie shop",parking lot,,,
street_views_000397,2019-04-01,"W Slauson Ave, North",1700,7956,76,,,,76,gas station,parking lot,,,
